1615504560337590102,3,3.347180,5.464605,2.370772,2.401613,0.200240
1615504564245445099,6,2.926116,4.194573,2.112642,2.144111,0.200418
1615504565663772887,9,2.513178,3.105477,1.802396,1.861781,0.200592
1615504569139563540,12,2.121188,2.233554,1.868941,1.906952,0.200761
1615504572422235728,15,1.761296,1.562996,1.581068,1.633912,0.200920
1615504573338922329,18,1.387883,1.014333,1.425552,1.454629,0.201068
1615504577070010987,21,1.057552,0.635067,1.344635,1.399903,0.201201
1615504578765638861,24,0.834033,0.434029,1.213825,1.250730,0.201317
1615504582504166612,27,0.556152,0.238839,1.097935,1.121820,0.201414
1615504586610361571,30,0.395868,0.141376,1.079005,1.107471,0.201489
1615504587843739221,33,0.211873,0.077972,1.039024,1.048685,0.201541
1615504591498596185,36,0.163962,0.068205,0.999226,1.015596,0.201571
1615504592708961515,39,0.127877,0.071745,1.068706,1.085958,0.201582
1615504596044301783,42,0.116669,0.105588,1.075911,1.091569,0.201575
1615504599536552824,45,-0.016120,0.093739,1.041065,1.039565,0.201556
1615504601730015251,48,-0.018757,0.134867,1.070768,1.081612,0.201528
1615504605632576019,51,-0.083532,0.175867,1.048710,1.041645,0.201492
1615504606929714040,54,-0.171571,0.232381,1.008736,1.006515,0.201452
1615504610585791146,57,-0.258269,0.212297,0.966511,0.981189,0.201406
1615504613707364515,60,-0.294382,0.156523,0.956274,0.964642,0.201355
1615504615570917347,63,-0.243680,0.112758,1.081824,1.078359,0.201300
1615504619868487992,66,-0.236377,0.110364,1.043208,1.047962,0.201241
1615504621486501941,69,-0.191104,0.078424,1.068710,1.072345,0.201180
1615504624897830797,72,-0.139168,0.061189,1.009015,1.009678,0.201116
1615504628856960158,75,-0.075128,0.069253,1.046361,1.046530,0.201052
1615504630056708054,78,-0.045926,0.042479,1.041214,1.040232,0.200987
1615504633652608556,81,-0.001789,0.043719,0.987846,0.986185,0.200921
1615504635452329350,84,0.051666,0.053859,0.985753,0.983758,0.200855
1615504638719891596,87,0.082424,0.048501,1.026501,1.025515,0.200789
1615504642518177883,90,0.100800,0.052436,1.072901,1.063330,0.200722
1615504644108963331,93,0.041957,0.036520,1.036272,1.020701,0.200653
1615504647551634847,96,0.110409,0.046787,0.941850,0.935359,0.200581
1615504648583472132,99,0.085587,0.043270,1.010015,1.010091,0.200509
1615504652258947777,102,0.087464,0.038998,1.059982,1.051845,0.200434
1615504655718632010,105,0.082288,0.032760,0.988031,0.989138,0.200355
1615504657462658522,108,0.126895,0.039799,0.989334,0.979028,0.200272
1615504661681224545,111,0.096308,0.044384,1.012294,1.001995,0.200187
1615504663747800042,114,0.070308,0.037125,1.059467,1.055965,0.200098
