1606506968105096198,1,-0.442222,-0.147407
1606506968918278829,3,-0.308889,-0.201235
1606506969731772279,5,-0.186667,-0.196379
1606506970545102913,7,-0.220000,-0.204252
1606506971358838510,9,-0.367222,-0.258576
1606506972171870197,11,-0.522778,-0.346643
1606506973194320308,13,-0.592222,-0.428503
1606506974009138892,15,-0.286667,-0.381224
1606506983529175008,41,-0.270000,-0.344149
1606506984342318704,43,-0.392222,-0.360174
1606506985363525614,45,-0.339444,-0.353264
1606506986381033773,47,-0.020000,-0.242176
1606506987193900060,49,-0.264444,-0.249599
1606506988007142927,51,-0.606111,-0.368436
1606506988820473796,53,-0.581111,-0.439328
1606506989835363151,55,-0.450556,-0.443070
1606506990645479465,57,-0.358889,-0.415010
1606506991455409123,59,-0.328333,-0.386118
1606506992265335996,61,-0.425556,-0.399264
1606506993075355927,63,-0.550556,-0.449694
1606506993885283601,65,-0.647778,-0.515722
1606506994696409527,67,-0.633889,-0.555111
1606506995712462256,69,-0.664444,-0.591556
1606506996726791612,71,-0.670000,-0.617704
1606506997540257591,73,-0.492222,-0.575877
1606506998353429456,75,-0.278333,-0.476695
1606506999166526920,77,-0.064444,-0.339278
1606506999369913136,78,-0.022778,-0.233778
1606506999573548249,79,-0.022778,-0.163445
1606507000596860244,81,-0.106111,-0.144334
1606507001410265649,83,-0.086667,-0.125111
1606507002223454668,85,-0.064444,-0.104889
1606507003036795721,87,-0.008889,-0.072889
1606507012153158257,112,-0.442222,-0.196000
1606507012966403507,114,-0.197778,-0.196593
1606507013781353444,116,-0.011667,-0.134951
1606507014594435206,118,-0.222778,-0.164226
1606507015407775882,120,-0.367222,-0.231892
1606507016220887053,122,-0.420000,-0.294594
1606507017643778155,125,-0.495000,-0.361396
1606507018660391834,127,-0.289444,-0.337412
1606507019470390692,129,-0.056111,-0.243645
1606507020280477839,131,-0.120000,-0.202430
1606507021090289657,133,-0.320000,-0.241620
1606507021906723899,135,-0.031111,-0.171450
1606507022716801096,137,-0.206111,-0.183004
1606507023526974390,139,-0.489444,-0.285151
1606507024337057539,141,-0.550556,-0.373619
1606507025351685926,143,-0.267222,-0.338153
1606507026164886447,145,-0.045000,-0.240436
1606507026977796919,147,-0.108889,-0.196587
1606507027181315587,148,-0.147778,-0.180317
1606507027384863056,149,-0.283889,-0.214841
1606507028403781945,151,-0.139444,-0.189709
1606507029217538153,153,-0.358889,-0.246102
1606507030030772053,155,-0.545000,-0.345735
1606507030844134050,157,-0.420000,-0.370490
1606507031657337262,159,-0.314444,-0.351808
